fish_code,birthday,genetic_background,line_building_stage,nickname,notes
FSH_LEGACY_korra_fish10_roi2,6/17/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish10_roi2; imaging_nickname=skittlez
FSH_LEGACY_aang_fish2_48hpf_roi1,10/8/25,,,mem_histone,legacy dataset=aang; legacy_fish_label=fish2_48hpf_roi1; imaging_nickname=mem_histone
FSH_LEGACY_aang_fish4_72hpf_roi3,9/9/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish4_72hpf_roi3; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish_48hpf_roi4,9/24/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish_48hpf_roi4; imaging_nickname=mem-mito
FSH_LEGACY_korra_fish3_roi1,6/5/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish3_roi1; imaging_nickname=skittlez
FSH_LEGACY_aang_fish4_48hpf_roi4,11/4/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish4_48hpf_roi4; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish1_48hpf_xscan_roi2_spine_muscle,9/30/25,,,mem_tester,legacy dataset=aang; legacy_fish_label=fish1_48hpf_xscan_roi2_spine_muscle; imaging_nickname=mem_tester
FSH_LEGACY_korra_fish1_96hpf_roi2,10/9/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish1_96hpf_roi2; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish2_48hpf_roi5,11/4/25,,,mem-mito,legacy dataset=korra; legacy_fish_label=fish2_48hpf_roi5; imaging_nickname=mem-mito
FSH_LEGACY_korra_fish4_24hpf_roi2,10/21/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish4_24hpf_roi2; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish1_48hpf_roi1test,10/5/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish1_48hpf_roi1test; imaging_nickname=mem-histone
FSH_LEGACY_aang_fish1_24hpf_roi1_test_SIM,10/16/25,,,nuclear_envelope,legacy dataset=aang; legacy_fish_label=fish1_24hpf_roi1_test_SIM; imaging_nickname=nuclear_envelope
FSH_LEGACY_korra_fish8_72hpf_mem_mito_msc3_er_halo,7/14/25,,,mem_organelle,legacy dataset=korra; legacy_fish_label=fish8_72hpf_mem_mito_msc3_er_halo; imaging_nickname=mem_organelle
FSH_LEGACY_korra_fish1_48hpf_roi3,11/4/25,,,mem-mito,legacy dataset=korra; legacy_fish_label=fish1_48hpf_roi3; imaging_nickname=mem-mito
FSH_LEGACY_korra_fish12_roi1,6/2/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish12_roi1; imaging_nickname=skittlez
FSH_LEGACY_aang_fish2_72hpf_roi5,9/5/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish2_72hpf_roi5; imaging_nickname=mem-mito
FSH_LEGACY_korra_fish3_72hpf_roi4,10/21/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish3_72hpf_roi4; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish15,5/12/25,,,skittles,legacy dataset=korra; legacy_fish_label=fish15; imaging_nickname=skittles
FSH_LEGACY_korra_fish11_roi1_eye,5/28/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish11_roi1_eye; imaging_nickname=skittlez
FSH_LEGACY_aang_fish3_120hpf_roi4,10/21/25,,,mem-histone,legacy dataset=aang; legacy_fish_label=fish3_120hpf_roi4; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish8_roi3,6/17/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish8_roi3; imaging_nickname=skittlez
FSH_LEGACY_aang_fish2_48hpf_roi2_test,10/8/25,,,mem_histone,legacy dataset=aang; legacy_fish_label=fish2_48hpf_roi2_test; imaging_nickname=mem_histone
FSH_LEGACY_korra_fish7,5/12/25,,,skittles,legacy dataset=korra; legacy_fish_label=fish7; imaging_nickname=skittles
FSH_LEGACY_aang_20251028_peroxi,,,,20251028_peroxi,legacy dataset=aang; legacy_fish_label=20251028_peroxi; imaging_nickname=
FSH_LEGACY_aang_fish2_72hpf_roi2,10/17/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish2_72hpf_roi2; imaging_nickname=mem-mito
FSH_LEGACY_korra_fish14_roi2,5/28/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish14_roi2; imaging_nickname=skittlez
FSH_LEGACY_aang_fish9_24hpf_roi1,9/30/25,,,mem_mito,legacy dataset=aang; legacy_fish_label=fish9_24hpf_roi1; imaging_nickname=mem_mito
FSH_LEGACY_korra_fish8_roi4,6/17/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish8_roi4; imaging_nickname=skittlez
FSH_LEGACY_aang_fish1_24hpf_mem_mchilada_lyso_mSG,8/7/25,,,mem_organelle,legacy dataset=aang; legacy_fish_label=fish1_24hpf_mem-mchilada_lyso-mSG; imaging_nickname=mem_organelle
FSH_LEGACY_korra_fish2_roi1,5/28/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish2_roi1; imaging_nickname=skittlez
FSH_LEGACY_aang_er_roi2,7/21/25,,,72hpf_mrna_mSG_organelle_LLS-SIM,legacy dataset=aang; legacy_fish_label=er_roi2; imaging_nickname=72hpf_mrna_mSG_organelle_LLS-SIM
FSH_LEGACY_aang_fish3_72hpf_roi8,9/15/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish3_72hpf_roi8; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish4_72hpf_roi6,9/9/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish4_72hpf_roi6; imaging_nickname=mem-mito
FSH_LEGACY_korra_fish1_24hpf_roi2,10/21/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish1_24hpf_roi2; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish2_roi12,6/4/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish2_roi12; imaging_nickname=skittlez
FSH_LEGACY_korra_fish3_48hpf_roi1,11/10/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish3_48hpf_roi1; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish5_roi2,6/4/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish5_roi2; imaging_nickname=skittlez
FSH_LEGACY_aang_fish4_72hpf_roi5,9/9/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish4_72hpf_roi5; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish1_48hpf_xscan_roi7_spine_muscle_tail,9/30/25,,,mem_tester,legacy dataset=aang; legacy_fish_label=fish1_48hpf_xscan_roi7_spine_muscle_tail; imaging_nickname=mem_tester
FSH_LEGACY_aang_fish8_48hpf_roi3,8/20/25,,,mem_mito,legacy dataset=aang; legacy_fish_label=fish8_48hpf_roi3; imaging_nickname=mem_mito
FSH_LEGACY_korra_fish1_72hpf_roi1_ear,6/14/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish1_72hpf_roi1-ear; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish2_24hpf_roi2,6/6/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish2_24hpf_roi2; imaging_nickname=mem-histone
FSH_LEGACY_aang_fish1_48hpf_xscan_roi6_spine_muscle_tail,9/30/25,,,mem_tester,legacy dataset=aang; legacy_fish_label=fish1_48hpf_xscan_roi6_spine_muscle_tail; imaging_nickname=mem_tester
FSH_LEGACY_korra_fish4_roi4,6/23/25,,,skittlez_Chris_x_Liam,legacy dataset=korra; legacy_fish_label=fish4_roi4; imaging_nickname=skittlez_Chris_x_Liam
FSH_LEGACY_korra_fish7_48hpf_mem_mito_halo_er_msc2,7/14/25,,,mem_organelle,legacy dataset=korra; legacy_fish_label=fish7_48hpf_mem_mito_halo_er_msc2; imaging_nickname=mem_organelle
FSH_LEGACY_aang_fish8_48hpf_roi2,8/20/25,,,mem_mito,legacy dataset=aang; legacy_fish_label=fish8_48hpf_roi2; imaging_nickname=mem_mito
FSH_LEGACY_korra_fish10,5/12/25,,,skittles,legacy dataset=korra; legacy_fish_label=fish10; imaging_nickname=skittles
FSH_LEGACY_aang_fish1_roi1,7/21/25,,,peroxi,legacy dataset=aang; legacy_fish_label=fish1_roi1; imaging_nickname=peroxi
FSH_LEGACY_korra_fish1_48hpf_roi5,11/4/25,,,mem-mito,legacy dataset=korra; legacy_fish_label=fish1_48hpf_roi5; imaging_nickname=mem-mito
FSH_LEGACY_korra_fish16,5/12/25,,,skittles,legacy dataset=korra; legacy_fish_label=fish16; imaging_nickname=skittles
FSH_LEGACY_aang_fish7_24hpf_roi1,9/30/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish7_24hpf_roi1; imaging_nickname=mem-mito
FSH_LEGACY_korra_fish3_roi2,6/4/25,,,skittlez_Chris_x_Liam,legacy dataset=korra; legacy_fish_label=fish3_roi2; imaging_nickname=skittlez_Chris_x_Liam
FSH_LEGACY_aang_fish_48hpf_roi3,9/24/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish_48hpf_roi3; imaging_nickname=mem-mito
FSH_LEGACY_korra_fish3_24hpf_roi1,6/6/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish3_24hpf_roi1; imaging_nickname=mem-histone
FSH_LEGACY_aang_fish2_24hpf_roi2_2,8/27/25,,,mem_actin,legacy dataset=aang; legacy_fish_label=fish2_24hpf_roi2-2; imaging_nickname=mem_actin
FSH_LEGACY_korra_fish5_roi1_1,6/23/25,,,skittlez_Chris_x_Liam,legacy dataset=korra; legacy_fish_label=fish5_roi1-1; imaging_nickname=skittlez_Chris_x_Liam
FSH_LEGACY_korra_fish1_72hpf_roi5,10/17/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish1_72hpf_roi5; imaging_nickname=mem-histone
FSH_LEGACY_aang_fish5_72hpf_roi4,9/19/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish5_72hpf_roi4; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish4_48hpf_roi1,10/13/25,,,mem_mito,legacy dataset=aang; legacy_fish_label=fish4_48hpf_roi1; imaging_nickname=mem_mito
FSH_LEGACY_korra_fish1_96hpf_roi1,10/9/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish1_96hpf_roi1; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish13_roi2,6/5/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish13_roi2; imaging_nickname=skittlez
FSH_LEGACY_aang_fish11_24hpf_roi3,9/30/25,,,mem_mito,legacy dataset=aang; legacy_fish_label=fish11_24hpf_roi3; imaging_nickname=mem_mito
FSH_LEGACY_korra_fish3_48hpf_roi4,11/10/25,,,mem-mito,legacy dataset=korra; legacy_fish_label=fish3_48hpf_roi4; imaging_nickname=mem-mito
FSH_LEGACY_korra_fish3_roi12,6/4/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish3_roi12; imaging_nickname=skittlez
FSH_LEGACY_korra_fish4_24hpf_roi3,10/21/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish4_24hpf_roi3; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish7_roi4,6/23/25,,,skittlez_Chris_x_Liam,legacy dataset=korra; legacy_fish_label=fish7_roi4; imaging_nickname=skittlez_Chris_x_Liam
FSH_LEGACY_korra_fish3_96hpf_roi3,10/9/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish3_96hpf_roi3; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish15_roi1,6/5/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish15_roi1; imaging_nickname=skittlez
FSH_LEGACY_aang_fish2_24hpf_mem_mchilada_lyso_mSG,8/7/25,,,mem_organelle,legacy dataset=aang; legacy_fish_label=fish2_24hpf_mem-mchilada_lyso-mSG; imaging_nickname=mem_organelle
FSH_LEGACY_aang_fish1_48hpf_xscan_roi4_spine_muscle_tail,9/30/25,,,mem_tester,legacy dataset=aang; legacy_fish_label=fish1_48hpf_xscan_roi4_spine_muscle_tail; imaging_nickname=mem_tester
FSH_LEGACY_aang_fish8_48hpf_roi1,8/20/25,,,mem_mito,legacy dataset=aang; legacy_fish_label=fish8_48hpf_roi1; imaging_nickname=mem_mito
FSH_LEGACY_korra_fish1_24hpf_roi3,10/21/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish1_24hpf_roi3; imaging_nickname=mem-histone
FSH_LEGACY_aang_fish7_24hpf_roi5,9/17/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish7_24hpf_roi5; imaging_nickname=mem-mito
FSH_LEGACY_korra_fish3_24hpf_roi1_brain,6/14/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish3_24hpf_roi1_brain; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish6_roi2,6/23/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish6_roi2; imaging_nickname=skittlez
FSH_LEGACY_korra_fish7_roi,6/12/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish7_roi; imaging_nickname=skittlez
FSH_LEGACY_aang_fish6_72hpf_roi1,9/15/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish6_72hpf_roi1; imaging_nickname=mem-mito
FSH_LEGACY_korra_fish6_48hpf_roi2,6/6/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish6_48hpf_roi2; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish1_72hpf_roi2_muscle,6/14/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish1_72hpf_roi2_muscle; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish15_roi2,6/5/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish15_roi2; imaging_nickname=skittlez
FSH_LEGACY_korra_fish1_72hpf_roi1,10/17/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish1_72hpf_roi1; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish3_48hpf_roi3,11/10/25,,,mem-mito,legacy dataset=korra; legacy_fish_label=fish3_48hpf_roi3; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish1_24hpf_roi7,8/18/25,,,mem_mito,legacy dataset=aang; legacy_fish_label=fish1_24hpf_roi7; imaging_nickname=mem_mito
FSH_LEGACY_korra_fish3_72hpf_roi3,10/21/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish3_72hpf_roi3; imaging_nickname=mem-histone
FSH_LEGACY_aang_fish1_48hpf_xscan_roi3_spine_muscle_tail,9/30/25,,,mem_tester,legacy dataset=aang; legacy_fish_label=fish1_48hpf_xscan_roi3_spine_muscle_tail; imaging_nickname=mem_tester
FSH_LEGACY_korra_fish4_roi3,6/23/25,,,skittlez_Chris_x_Liam,legacy dataset=korra; legacy_fish_label=fish4_roi3; imaging_nickname=skittlez_Chris_x_Liam
FSH_LEGACY_korra_fish1_24hpf,7/23/25,,,mem-mchilada_er-mSG,legacy dataset=korra; legacy_fish_label=fish1_24hpf; imaging_nickname=mem-mchilada_er-mSG
FSH_LEGACY_aang_fish6_48hpf_roi3,8/18/25,,,mem_mito,legacy dataset=aang; legacy_fish_label=fish6_48hpf_roi3; imaging_nickname=mem_mito
FSH_LEGACY_korra_fish2_24hpf_roi1_test,10/16/25,,,microtubules,legacy dataset=korra; legacy_fish_label=fish2_24hpf_roi1_test; imaging_nickname=microtubules
FSH_LEGACY_korra_fish3_96hpf_roi2,10/9/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish3_96hpf_roi2; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish2_roi1_1,6/2/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish2_roi1_1; imaging_nickname=skittlez
FSH_LEGACY_korra_fish11_roi2,6/5/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish11_roi2; imaging_nickname=skittlez
FSH_LEGACY_aang_fish3_120hpf_roi6,10/21/25,,,mem-histone,legacy dataset=aang; legacy_fish_label=fish3_120hpf_roi6; imaging_nickname=mem-histone
FSH_LEGACY_aang_fish6_48hpf_roi4,8/18/25,,,mem_mito,legacy dataset=aang; legacy_fish_label=fish6_48hpf_roi4; imaging_nickname=mem_mito
FSH_LEGACY_aang_fish4_72hpf_roi2,9/9/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish4_72hpf_roi2; imaging_nickname=mem-mito
FSH_LEGACY_aang_er_roi1,7/21/25,,,72hpf_mrna_mSG_organelle_LLS-SIM,legacy dataset=aang; legacy_fish_label=er_roi1; imaging_nickname=72hpf_mrna_mSG_organelle_LLS-SIM
FSH_LEGACY_aang_fish5_48hpf_roi3,11/4/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish5_48hpf_roi3; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish3_24hpf_roi7,9/23/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish3_24hpf_roi7; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish1_roi3,7/21/25,,,mrna_mito-mSG_mem-mChilada,legacy dataset=aang; legacy_fish_label=fish1_roi3; imaging_nickname=mrna_mito-mSG_mem-mChilada
FSH_LEGACY_aang_fish2_24hpf_roi4,7/21/25,,,mem-halo_er-mSG,legacy dataset=aang; legacy_fish_label=fish2_24hpf_roi4; imaging_nickname=mem-halo_er-mSG
FSH_LEGACY_aang_roi1_newscripttest,8/18/25,,,mem_ER,legacy dataset=aang; legacy_fish_label=roi1_newscripttest; imaging_nickname=mem_ER
FSH_LEGACY_aang_fish4_48hpf_roi8,8/18/25,,,mem_mito,legacy dataset=aang; legacy_fish_label=fish4_48hpf_roi8; imaging_nickname=mem_mito
FSH_LEGACY_aang_fish10_24hpf_roi2,9/30/25,,,mem_mito,legacy dataset=aang; legacy_fish_label=fish10_24hpf_roi2; imaging_nickname=mem_mito
FSH_LEGACY_aang_fish3_72hpf_roi12,9/9/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish3_72hpf_roi12; imaging_nickname=mem-mito
FSH_LEGACY_korra_fish5_48hpf_roi2,6/6/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish5_48hpf_roi2; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish2_48hpf_roi2,11/4/25,,,mem-mito,legacy dataset=korra; legacy_fish_label=fish2_48hpf_roi2; imaging_nickname=mem-mito
FSH_LEGACY_aang_er_roi3,7/21/25,,,72hpf_mrna_mSG_organelle_LLS-SIM,legacy dataset=aang; legacy_fish_label=er_roi3; imaging_nickname=72hpf_mrna_mSG_organelle_LLS-SIM
FSH_LEGACY_aang_fish3_24hpf_roi1_test,9/23/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish3_24hpf_roi1_test; imaging_nickname=mem-mito
FSH_LEGACY_korra_fish5_48hpf_mem_mito_halo_er_msc2,7/14/25,,,mem_organelle,legacy dataset=korra; legacy_fish_label=fish5_48hpf_mem_mito_halo_er_msc2; imaging_nickname=mem_organelle
FSH_LEGACY_korra_fish1_72hpf_roi2,10/17/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish1_72hpf_roi2; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish11_roi1_eye_2,5/28/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish11_roi1_eye_2; imaging_nickname=skittlez
FSH_LEGACY_aang_fish7_24hpf_roi3,9/17/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish7_24hpf_roi3; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish3_120hpf_roi7,10/21/25,,,mem-histone,legacy dataset=aang; legacy_fish_label=fish3_120hpf_roi7; imaging_nickname=mem-histone
FSH_LEGACY_aang_fish1_48hpf_roi5,9/9/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish1_48hpf_roi5; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish6_48hpf_roi5,8/18/25,,,mem_mito,legacy dataset=aang; legacy_fish_label=fish6_48hpf_roi5; imaging_nickname=mem_mito
FSH_LEGACY_korra_fish3_24hpf_mem_mito_msc3_er_halo,7/14/25,,,mem_organelle,legacy dataset=korra; legacy_fish_label=fish3_24hpf_mem_mito_msc3_er_halo; imaging_nickname=mem_organelle
FSH_LEGACY_aang_fish1_24hpf_roi3_2,9/2/25,,,lifeact-mSG,legacy dataset=aang; legacy_fish_label=fish1_24hpf_roi3_2; imaging_nickname=lifeact-mSG
FSH_LEGACY_aang_fish11_24hpf_roi2,9/30/25,,,mem_mito,legacy dataset=aang; legacy_fish_label=fish11_24hpf_roi2; imaging_nickname=mem_mito
FSH_LEGACY_aang_fish12_24hpf_roi4,9/30/25,,,mem_mito,legacy dataset=aang; legacy_fish_label=fish12_24hpf_roi4; imaging_nickname=mem_mito
FSH_LEGACY_aang_fish1_48hpf_xscan_roi1_brain,9/30/25,,,mem_tester,legacy dataset=aang; legacy_fish_label=fish1_48hpf_xscan_roi1_brain; imaging_nickname=mem_tester
FSH_LEGACY_korra_fish2_24hpf_roi3,10/21/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish2_24hpf_roi3; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish2_48hpf_roi4,11/4/25,,,mem-mito,legacy dataset=korra; legacy_fish_label=fish2_48hpf_roi4; imaging_nickname=mem-mito
FSH_LEGACY_korra_fish3_mem_halo_24hpf,4/28/25,,,mem_cytosol,legacy dataset=korra; legacy_fish_label=fish3_mem-halo_24hpf; imaging_nickname=mem_cytosol
FSH_LEGACY_aang_fish7_48hpf_roi1,8/20/25,,,mem_mito,legacy dataset=aang; legacy_fish_label=fish7_48hpf_roi1; imaging_nickname=mem_mito
FSH_LEGACY_korra_fish1_roi1_1,6/2/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish1_roi1_1; imaging_nickname=skittlez
FSH_LEGACY_aang_fish1_96hpf_roi3,10/9/25,,,mem-histone,legacy dataset=aang; legacy_fish_label=fish1_96hpf_roi3; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish4_24hpf_roi1_brain,6/14/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish4_24hpf_roi1_brain; imaging_nickname=mem-histone
FSH_LEGACY_aang_fish3_72hpf_roi5,9/12/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish3_72hpf_roi5; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish3_120hpf_roi3,10/21/25,,,mem-histone,legacy dataset=aang; legacy_fish_label=fish3_120hpf_roi3; imaging_nickname=mem-histone
FSH_LEGACY_aang_fish1_120hpf_roi1,10/21/25,,,mem-histone,legacy dataset=aang; legacy_fish_label=fish1_120hpf_roi1; imaging_nickname=mem-histone
FSH_LEGACY_aang_fish7_48hpf_roi2,8/20/25,,,mem_mito,legacy dataset=aang; legacy_fish_label=fish7_48hpf_roi2; imaging_nickname=mem_mito
FSH_LEGACY_korra_fish2_48hpf,4/28/25,,,mem_cytosol,legacy dataset=korra; legacy_fish_label=fish2_48hpf; imaging_nickname=mem_cytosol
FSH_LEGACY_aang_fish4_72hpf_roi4,9/9/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish4_72hpf_roi4; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish4_48hpf_roi5,9/15/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish4_48hpf_roi5; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish_48hpf_roi1,9/24/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish_48hpf_roi1; imaging_nickname=mem-mito
FSH_LEGACY_korra_fish11,5/12/25,,,skittles,legacy dataset=korra; legacy_fish_label=fish11; imaging_nickname=skittles
FSH_LEGACY_aang_fish4_48hpf_roi7,8/18/25,,,mem_mito,legacy dataset=aang; legacy_fish_label=fish4_48hpf_roi7; imaging_nickname=mem_mito
FSH_LEGACY_korra_fish2_96hpf_roi1,10/9/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish2_96hpf_roi1; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish16_roi1,6/2/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish16_roi1; imaging_nickname=skittlez
FSH_LEGACY_korra_fish1_96hpf_roi3,10/9/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish1_96hpf_roi3; imaging_nickname=mem-histone
FSH_LEGACY_aang_fish1_24hpf_roi8,8/18/25,,,mem_mito,legacy dataset=aang; legacy_fish_label=fish1_24hpf_roi8; imaging_nickname=mem_mito
FSH_LEGACY_korra_fish9_roi3,6/2/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish9_roi3; imaging_nickname=skittlez
FSH_LEGACY_aang_fish12_24hpf_roi1,9/30/25,,,mem_mito,legacy dataset=aang; legacy_fish_label=fish12_24hpf_roi1; imaging_nickname=mem_mito
FSH_LEGACY_aang_fish3_24hpf_roi4,9/23/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish3_24hpf_roi4; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish3_96hpf_roi4,10/9/25,,,mem-histone,legacy dataset=aang; legacy_fish_label=fish3_96hpf_roi4; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish10_roi4,6/17/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish10_roi4; imaging_nickname=skittlez
FSH_LEGACY_korra_fish1_24hpf_roi1,10/9/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish1_24hpf_roi1; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish5_roi3,6/11/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish5_roi3; imaging_nickname=skittlez
FSH_LEGACY_korra_fish1_24hpf_roi1_brain,6/14/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish1_24hpf_roi1_brain; imaging_nickname=mem-histone
FSH_LEGACY_aang_fish5_48hpf_roi11,8/18/25,,,mem_mito,legacy dataset=aang; legacy_fish_label=fish5_48hpf_roi11; imaging_nickname=mem_mito
FSH_LEGACY_aang_fish8_24hpf_roi4,9/17/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish8_24hpf_roi4; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish3_24hpf_roi3,9/23/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish3_24hpf_roi3; imaging_nickname=mem-mito
FSH_LEGACY_aang_mito_roi1,7/21/25,,,72hpf_mrna_mSG_organelle_LLS-SIM,legacy dataset=aang; legacy_fish_label=mito_roi1; imaging_nickname=72hpf_mrna_mSG_organelle_LLS-SIM
FSH_LEGACY_korra_fish2_roi2,6/23/25,,,skittlez_Issac_x_Ken,legacy dataset=korra; legacy_fish_label=fish2_roi2; imaging_nickname=skittlez_Issac_x_Ken
FSH_LEGACY_korra_fish6_48hpf_roi1,6/6/25,,,mem-histone,legacy dataset=korra; legacy_fish_label=fish6_48hpf_roi1; imaging_nickname=mem-histone
FSH_LEGACY_aang_fish5_48hpf_roi4,9/15/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish5_48hpf_roi4; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish12_24hpf_roi2,9/30/25,,,mem_mito,legacy dataset=aang; legacy_fish_label=fish12_24hpf_roi2; imaging_nickname=mem_mito
FSH_LEGACY_aang_20251029_peroxi,,,,20251029_peroxi,legacy dataset=aang; legacy_fish_label=20251029_peroxi; imaging_nickname=
FSH_LEGACY_aang_fish5_48hpf_roi12,8/18/25,,,mem_mito,legacy dataset=aang; legacy_fish_label=fish5_48hpf_roi12; imaging_nickname=mem_mito
FSH_LEGACY_korra_fish3_roi3,6/23/25,,,skittlez_Chris_x_Liam,legacy dataset=korra; legacy_fish_label=fish3_roi3; imaging_nickname=skittlez_Chris_x_Liam
